cell,cell_ontology_class,tissue
F20.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
A22.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
M11.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
P3.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
L10.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
H8.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
K9.MAA000563.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
G4.MAA000641.3_9_M.1.1,neuron,Brain_Non-Myeloid
H20.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
K3.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
B2.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
F3.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A21.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
E11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J16.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
B21.MAA000560.3_10_M.1.1,neuron,Brain_Non-Myeloid
D17.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C20.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
G11.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E6.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
N21.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
K10.B003277.3_39_F.1.1,neuron,Brain_Non-Myeloid
N8.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J5.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
I4.MAA000935.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
E9.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
A2.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
M16.MAA000935.3_8_M.1.1,neuron,Brain_Non-Myeloid
F18.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
N10.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L20.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
O11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
E15.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B19.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B8.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
L4.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
M15.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
K21.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
F7.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C5.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
P20.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
B5.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D16.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
J13.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D6.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
C13.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
P4.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
G2.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
L1.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
O7.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A16.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
E8.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
G19.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
F22.B003275.3_38_F.1.1,neuron,Brain_Non-Myeloid
D20.MAA001853.3_38_F.1.1,neuron,Brain_Non-Myeloid
B20.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
P1.MAA001894.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
K18.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
M13.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O16.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
G5.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
K12.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
J18.MAA000932.3_11_M.1.1,astrocyte,Brain_Non-Myeloid
G15.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
L12.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
A15.MAA000930.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
F7.MAA001853.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
J13.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A12.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
H14.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K1.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H9.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
I11.MAA000935.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
K22.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
I11.MAA000947.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
K12.MAA000935.3_8_M.1.1,neuron,Brain_Non-Myeloid
E13.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
M15.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
F17.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C16.MAA000944.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
J9.MAA000564.3_10_M.1.1,neuron,Brain_Non-Myeloid
K2.MAA000550.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
B8.MAA001854.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D2.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
I15.MAA000641.3_9_M.1.1,neuron,Brain_Non-Myeloid
P9.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
C15.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
J6.MAA000947.3_9_M.1.1,neuron,Brain_Non-Myeloid
I2.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
F5.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
C12.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
I16.B000621.3_56_F.1.1,neuron,Brain_Non-Myeloid
A18.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
B20.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
F3.B003277.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
L20.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E18.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E16.MAA000941.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
H16.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
G10.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
E20.MAA000944.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
A9.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
M4.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
N6.MAA000578.3_10_M.1.1,neuron,Brain_Non-Myeloid
O6.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
