ID,Gender,Lab,Ancestry
NA12761,female,6,Utah
NA12762,male,4,Utah
NA12763,female,2,Utah
NA12775,male,7,Utah
NA12776,female,6,Utah
NA12777,male,4,Utah
NA12778,female,1,Utah
NA12812,male,1,Utah
NA12813,female,2,Utah
NA12814,male,7,Utah
NA12815,female,1,Utah
NA12827,male,3,Utah
NA12829,male,7,Utah
NA12830,female,1,Utah
NA12842,male,6,Utah
NA12843,female,6,Utah
NA12872,male,2,Utah
NA12873,female,7,Utah
NA12874,male,3,Utah
NA12889,male,3,Utah
NA12890,female,1,Utah
NA18486,male,7,Yoruba
NA18487,male,6,Yoruba
NA18488,female,4,Yoruba
NA18489,female,2,Yoruba
NA18498,male,2,Yoruba
NA18499,female,1,Yoruba
NA18502,female,7,Yoruba
NA18505,female,3,Yoruba
NA18508,female,1,Yoruba
NA18510,male,3,Yoruba
NA18511,female,7,Yoruba
NA18517,female,3,Yoruba
NA18519,male,1,Yoruba
NA18520,female,1,Yoruba
NA18858,female,2,Yoruba
NA18861,female,1,Yoruba
NA18867,female,1,Yoruba
NA18868,male,5,Yoruba
NA18870,female,6,Yoruba
NA18873,female,4,Yoruba
NA18907,female,6,Yoruba
NA18908,male,7,Yoruba
NA18909,female,4,Yoruba
NA18910,male,3,Yoruba
NA18912,female,7,Yoruba
NA18916,female,2,Yoruba
NA18917,male,1,Yoruba
NA18923,male,2,Yoruba
NA18933,female,1,Yoruba
NA18934,male,3,Yoruba
NA19092,male,1,Yoruba
NA19093,female,7,Yoruba
NA19095,female,2,Yoruba
NA19096,male,4,Yoruba
NA19098,male,5,Yoruba
NA19099,female,2,Yoruba
NA19102,female,1,Yoruba
NA19107,male,2,Yoruba
NA19108,female,5,Yoruba
NA19113,male,3,Yoruba
NA19114,female,2,Yoruba
NA19116,female,2,Yoruba
NA19117,male,1,Yoruba
NA19118,female,7,Yoruba
NA19119,male,3,Yoruba
NA19121,male,3,Yoruba
NA19129,female,6,Yoruba
NA19130,male,5,Yoruba
NA19131,female,2,Yoruba
NA19137,female,1,Yoruba
NA19138,male,3,Yoruba
NA19141,male,6,Yoruba
NA19143,female,2,Yoruba
NA19144,male,1,Yoruba
NA19146,male,5,Yoruba
NA19147,female,2,Yoruba
NA19149,female,1,Yoruba
NA19150,male,5,Yoruba
NA19152,female,4,Yoruba
NA19153,male,1,Yoruba
NA19159,female,3,Yoruba
NA19160,male,3,Yoruba
NA19171,male,1,Yoruba
NA19172,female,6,Yoruba
NA19175,male,4,Yoruba
NA19184,male,1,Yoruba
NA19185,female,6,Yoruba
NA19189,male,5,Yoruba
NA19190,female,4,Yoruba
NA19197,female,3,Yoruba
NA19198,male,2,Yoruba
NA19200,male,2,Yoruba
NA19201,female,1,Yoruba
NA19204,female,1,Yoruba
NA19206,female,2,Yoruba
NA19207,male,4,Yoruba
NA19209,female,6,Yoruba
NA19210,male,4,Yoruba
NA19213,male,2,Yoruba
NA19214,female,6,Yoruba
NA19222,female,2,Yoruba
NA19223,male,7,Yoruba
NA19225,female,1,Yoruba
NA19235,female,1,Yoruba
NA19236,male,4,Yoruba
NA19247,female,3,Yoruba
NA19248,male,5,Yoruba
NA19256,male,6,Yoruba
NA19257,female,6,Yoruba
NA20502,female,3,Tuscan
NA20503,female,1,Tuscan
NA20504,female,1,Tuscan
NA20505,female,1,Tuscan
NA20506,female,1,Tuscan
NA20507,female,1,Tuscan
NA20508,female,1,Tuscan
NA20509,male,7,Tuscan
NA20510,male,3,Tuscan
NA20512,male,6,Tuscan
NA20513,male,4,Tuscan
NA20514,female,1,Tuscan
NA20515,male,5,Tuscan
NA20516,male,5,Tuscan
NA20517,female,3,Tuscan
NA20518,male,4,Tuscan
NA20519,male,1,Tuscan
NA20520,male,3,Tuscan
NA20521,male,7,Tuscan
NA20524,male,2,Tuscan
NA20525,male,1,Tuscan
NA20527,male,2,Tuscan
NA20528,male,2,Tuscan
NA20529,female,2,Tuscan
NA20530,female,2,Tuscan
NA20531,female,4,Tuscan
NA20532,male,3,Tuscan
NA20534,male,2,Tuscan
NA20535,female,3,Tuscan
NA20536,male,1,Tuscan
NA20537,male,3,Tuscan
NA20538,male,3,Tuscan
NA20539,male,4,Tuscan
NA20540,female,1,Tuscan
NA20541,female,1,Tuscan
NA20542,female,7,Tuscan
NA20543,male,2,Tuscan
NA20544,male,4,Tuscan
NA20581,male,1,Tuscan
NA20582,female,4,Tuscan
NA20585,female,3,Tuscan
NA20586,male,2,Tuscan
NA20588,male,5,Tuscan
NA20589,female,1,Tuscan
NA20752,male,5,Tuscan
NA20754,male,4,Tuscan
NA20756,female,2,Tuscan
NA20757,female,1,Tuscan
NA20758,male,2,Tuscan
NA20759,male,4,Tuscan
NA20760,female,3,Tuscan
NA20761,female,1,Tuscan
NA20765,male,2,Tuscan
NA20766,female,1,Tuscan
NA20768,female,5,Tuscan
NA20769,female,6,Tuscan
NA20770,male,3,Tuscan
NA20771,female,2,Tuscan
NA20772,female,3,Tuscan
NA20773,female,6,Tuscan
NA20774,female,7,Tuscan
NA20778,male,4,Tuscan
NA20783,male,4,Tuscan
NA20785,male,4,Tuscan
NA20786,female,2,Tuscan
NA20787,male,6,Tuscan
NA20790,female,2,Tuscan
NA20792,male,6,Tuscan
NA20795,female,5,Tuscan
NA20796,male,1,Tuscan
NA20797,female,2,Tuscan
NA20798,male,6,Tuscan
NA20799,female,1,Tuscan
NA20800,female,1,Tuscan
NA20801,male,7,Tuscan
NA20802,female,1,Tuscan
NA20803,male,7,Tuscan
NA20804,female,4,Tuscan
NA20805,male,4,Tuscan
NA20806,male,3,Tuscan
NA20807,female,5,Tuscan
NA20808,female,4,Tuscan
NA20809,male,6,Tuscan
NA20810,male,2,Tuscan
NA20811,male,1,Tuscan
NA20812,male,2,Tuscan
NA20813,female,5,Tuscan
NA20814,male,2,Tuscan
NA20815,male,5,Tuscan
NA20816,male,3,Tuscan
NA20819,female,3,Tuscan
NA20826,female,1,Tuscan
NA20828,female,2,Tuscan
